pType;pId;year;subject
MPV;668;2015;DVS 23 PT - ART. 16 DO PLV
MPV;668;2015;DVS 24 PSDB - ART. 23 DO PLV
MPV;668;2015;DVS 19  PT -  ART. 31 DO PLV
MPV;668;2015;DVS 22 PRB - ART. 34, INC. VI DO PLV
MPV;668;2015;REDAÇÃO FINAL - ART. 3º
MPV;670;2015;DTQ. 2  DEM - EMENDA Nº 88
MPV;670;2015;DTQ. 3 PPS - EMENDA Nº 76
MPV;670;2015;DTQ. 5  PSDB - EMENDA Nº 16
MPV;671;2015;DTQ. 19 - DEM - CAPÍTULO II DO PLV
MPV;672;2015;MEDIDA PROVISÓRIA
MPV;672;2015;DTQ 2: PTB - EMENDA 16
MPV;672;2015;DTQ 9: PSB - EMENDA 107
MPV;672;2015;DTQ 8: PPS - EMENDA 80
MPV;672;2015;EMENDA AGLUTINATIVA Nº 1
MPV;672;2015;DTQ 13: PSDB - EMENDA 65
MPV;672;2015;DTQ 11: PSDB - EMENDA Nº 48
MPV;675;2015;PROJETO DE LEI DE CONVERSÃO Nº 11
MPV;676;2015;DTQ 1: PPS - EMENDA Nº 65
MPV;676;2015;DTQ 4: PSB - EMENDA Nº 168
MPV;678;2015;DTQ 18: PSC - ART. 10 DO PLV 17/2015
MPV;678;2015;DTQ 24: PSDB - PREFERÊNCIA PARA A MPV Nº 678/2015
MPV;678;2015;REQ. DE VOTAÇÃO NOMINAL DO REQ. DE PREFERÊNCIA PARA A M.P.
MPV;678;2015;ART. 1º, ART. 3º, ART 4º (EXCETO §4º), ART. 9º, ART. 10, ART. 11, ART. 13...
MPV;678;2015;REQUERIMENTO DE RETIRADA DE PAUTA
MPV;679;2015;DTQ 2: PSD - EMENDA Nº 15
MPV;681;2015;PROJETO DE LEI DE CONVERSÃO
MPV;682;2015;DTQ 3: PSOL - ART. 53 DA LEI Nº 12.712/2012, ALTERADO PELO ART 1º DO PLV
MPV;685;2015;PROJETO DE LEI DE CONVERSÃO Nº 22/2015
MPV;685;2015;DTQ 1: PPS - ART. 7º AO 11º DO PLV 22/2015 (ART. 161, I)
MPV;685;2015;DTQ 5: PTB - EMENDA Nº 65 (ART. 161, II)
MPV;685;2015;EMENDA AGLUTINATIVA Nº 1
MPV;685;2015;DTQ 2: DEM - ART. 20 DO PLV  DO S.F., PARA INCLUÍ-LO NO TEXTO DA C.D.
MPV;687;2015;PROJETO DE LEI DE CONVERSÃO Nº 20/2015
MPV;687;2015;DTQ 4: PSDB - ART. 6º DO PLV Nº 20/2015
MPV;688;2015;PARECER DA C.M. P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS
MPV;688;2015;PROJETO DE LEI DE CONVERSÃO
MPV;688;2015;REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES
MPV;688;2015;DTQ 2: PPS - ART. 1º DO PLV Nº 23/2015
MPV;688;2015;DTQ 1: PSDB - CAPÍTULO II DO PLV Nº 23/2015
MPV;688;2015;DTQ 4: PSB - EMENDA Nº 1
